"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot14",0,0.180616217091825,0,0,0,0,0.0833012831047176,0,0,0,0,0,0,0,0,0,0,0,0.0149124780288164,0,0,0,0,0,0.0557031474639005,0.0549447320510362,0,0.180974399366189,0,0,0,0,0,0,0.0519340240717039,0,0.343059560889165,0,0,0.0335173104080147
"merge_spot25",0,0.011106362043154,0,0,0,0,0.0069115426811127,0.0354428912856402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235562017099651,0,0,0.108526261818216,0,0,0,0,0.168822147243067,0.00449781338574254,0,0.427847849557125,0,0
"merge_spot26",0,0.10132775056522,0,0,0.0680221015884882,0,0,0,0,0,0.0189155084135144,0.160937730928804,0,0,0,0,0,0,0,0,0,0,0.0355793248784176,0,0.141205910550585,0.082617671997074,0,0.113692372766052,0,0,0,0.0764736075649637,0,0,0,0,0.0782770544682508,0,0.122059538529584,0
"merge_spot30",0.0273485676789709,0,0,0,0,0,0,0,0,0.0432451974803239,0,0,0,0,0.0160763010335836,0.0458961523743308,0,0.0189049843411401,0,0.123596900705048,0,0,0.0177992281177725,0,0,0,0.123608042152232,0.0925624025427337,0,0,0,0,0.133432789001256,0.151979353811213,0,0,0,0.175032807577317,0,0.0296105000737719
"merge_spot41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176571293744477,0,0,0,0,0,0,0.00860967453000108,0,0.159696675654654,0,0.0565451398449731,0,0,0,0,0,0,0,0.0622475832361304,0.0345451882107905,0,0.420525371978886,0.238598564006149,0
"merge_spot42",0,0.0313970289087994,0.0546910265837851,0,0,0,0,0.0786582804167387,0,0.0483621016843011,0,0,0,0.0887355959287446,0,0,0.0776205389034918,0,0,0,0,0,0,0,0,0.271467439282993,0,0.0568331596572039,0,0,0,0,0.0452034939936441,0,0,0,0,0.192048454704008,0.0227761287092903,0.031491746744057
"merge_spot43",0.11110344875345,0.021101774986111,0,0,0,0,0.0245861674529291,0,0,0.254014122080554,0.0377353148262736,0,0,0,0,0,0,0,0,0.0249574303961595,0,0,0,0,0,0,0,0,0,0,0.0909672678393298,0,0.0990482863397533,0.0703036433545423,0.0678101486646153,0.0951233245804591,0.102268957487048,0,0,0
"merge_spot52",0,0,0.0645497524576559,0,0,0,0.0185342074938547,0,0,0,0.00127860181254206,0,0,0,0,0,0,0.0302737886743715,0,0.00359975820238628,0.260109461669476,0,0.0357426235418911,0,0,0.0578287183855889,0,0,0.377321139205052,0,0,0,0,0.015426645177981,0,0.0390747956739232,0.0663349543352248,0,0.0294645506687659,0
"merge_spot63",0,0,0.291018054988738,0,0,0,0,0,0,0,0.0844033999388077,0.181199714520951,0,0,0,0,0,0,0,0,0,0.0418181419971333,0,0.101384957939723,0,0,0,0,0,0.009439863605272,0,0.177744555703013,0,0.11195117136167,0,0,0,0,0,0
"merge_spot64",0,0.0203731070553108,0,0,0,0,0,0,0,0,0.0506084848185218,0.201104748080993,0,0,0.0801557092003756,0,0,0.0275673506104453,0,0.0773596574510464,0,0,0,0.00443184191581783,0.160309900457152,0,0,0.150498380165378,0,0,0,0,0,0.0111553957254758,0,0.104745566984995,0,0,0,0.110729093546601
"merge_spot66",0,0,0,0.0909096431754161,0,0,0.0115111494345961,0,0,0,0.124420129915342,0,0,0,0,0.142157978492999,0,0,0,0,0,0,0.0463595391785414,0,0,0.0852946693611592,0,0.297710563833344,0,0,0,0.11153476717882,0,0,0,0,0.0269841942826698,0,0.0234250853466197,0.0384878510913375
"merge_spot67",0,0.0265264395668745,0,0.107488299376611,0,0,0.00537584994633696,0,0,0,0.0342320031268296,0,0,0,0,0,0.0280964219112461,0,0,0.0117705072319325,0.516085907691325,0,0,0,0,0,0.0094379927390626,0.151926794022055,0,0,0,0,0,0.00296534302374605,0,0.0589403095201391,0.0281310306064016,0,0,0.0187853742128843
"merge_spot79",0,0.18275105795349,0,0,0,0,0,0,0,0,0.0449471937460349,0,0.0651988960372971,0,0,0,0,0,0,0.03224484114983,0,0,0,0,0.120759439099245,0.00725520745605644,0,0.0546683407090369,0,0,0.312402729126842,0,0.0271552699525008,0,0,0.151283754389732,0,0,0,0
"merge_spot85",0,0,0.285922041596251,0,0,0,0.00333368235759296,0,0,0.303417935114785,0.0408023092714008,0,0,0,0,0.070716492454048,0,0,0,0,0,0,0,0,0,0,0.101584745783751,0,0,0,0,0,0.109641913784533,0,0,0,0,0.083572528370919,0,0
"merge_spot89",0,0.230500189045419,0,0,0,0,0,0,0,0,0.0309437926315386,0,0,0,0,0,0,0,0.259320347094414,0,0,0,0.199008414705641,0,0,0.0655624567303268,0,0,0,0.0342663238345887,0.0334009461616313,0.036532965864638,0,0,0,0,0.009055076557783,0.100327197249417,0,0
"merge_spot91",0,0,0.08414296451139,0,0,0,0.0205521746820872,0,0,0.152180655070644,0.00745091081715323,0,0.0956661052167271,0,0,0,0,0,0,0,0,0,0,0.0398814949296103,0,0,0,0.133771796508596,0.0978000594604626,0,0,0,0.225260487670847,0,0,0.0304358280799519,0,0.11181586652028,0,0
"merge_spot97",0,0,0.373901932168239,0,0,0,0,0,0,0,0.00775953383736025,0,0,0,0.0185291396954131,0,0,0,0,0.104898033980992,0,0.0163409873931607,0,0,0,0.242813486769819,0,0,0,0,0,0,0,0,0,0,0.123980641677834,0,0.110762377731502,0
"merge_spot101",0,0.0276543287187938,0,0,0,0,0,0.0698632662317576,0,0,0.00453168170575397,0,0.101886298970292,0,0,0.0802359340470521,0,0.0440656232959295,0,0,0,0,0,0,0.0855872430424179,0,0,0.0536828230608374,0.230637358091603,0,0.00428704975822233,0.235285231070653,0,0,0,0.0479755846059723,0,0,0,0.0135032593042363
"merge_spot103",0,0.0453698140079958,0,0.126159158094393,0,0,0,0,0,0,0.00902383450859922,0,0.0298618311273237,0.0258543243292956,0,0,0,0,0,0,0,0,0.135859790913473,0,0,0.124620349826054,0,0,0,0.0207014470522813,0,0,0,0,0,0.0369835406987556,0.31831329771403,0.125905866335,0,0
"merge_spot109",0,0,0,0,0,0,0.0725464187958687,0.0425554206943312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689678645313917,0.0918560246052024,0,0.178638746629614,0,0.0124949325108769,0,0,0,0.360911636350017,0,0.0286033120238888,0,0.0291433074558212,0.0145817114691693,0.160338971279325,0,0
"merge_spot112",0.177620609229104,0,0,0.0615704456925144,0,0,0,0,0,0,0.130124727106303,0,0.183931821057829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446648127276298,0,0,0,0,0,0,0,0,0,0,0,0
"merge_spot116",0,0.15106221612685,0.0672707201264423,0,0,0,0,0,0,0,0.00549929992265332,0,0.00540155257678305,0,0,0,0,0,0,0,0.395512053442812,0,0,0.0405356777591669,0,0.00999569638226295,0,0.0475640121566733,0,0,0.172324412219527,0,0,0.0244207403411919,0,0,0,0.079878839507163,0,0
"merge_spot123",0,0,0,0,0,0,0,0,0.0434244361537525,0,0.162233349411402,0.0796062205592097,0.1567861091965,0.0208770867551714,0,0,0,0,0.0405411071666874,0,0,0.0141044032187565,0.160052900760667,0.0699335534450977,0,0.0362426235445521,0,0.191341192728181,0,0,0,0,0,0,0,0.00751134063881007,0,0,0,0.0166052147208142
