"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot2",0,0,0,0,0,0,0,0,0,0,0.022931493866615,0,0,0,0,0,0.0982697537139789,0,0,0,0,0,0,0.0125079434955292,0,0.0252848655318473,0,0.00265953914777998,0.196431443340447,0,0,0,0,0.134122932177421,0,0.0291215248260548,0.0939294071129793,0,0.317281739153917,0.066351043681311
"merge_spot3",0,0,0,0,0,0,0.11535385952406,0.0111421502732567,0,0,0.00258636670146295,0,0,0,0,0.113915390200006,0,0,0,0.0414737207863975,0,0.00734357931434036,0.0146331836691419,0,0,0.00137467511410498,0,0,0,0.0333586397940978,0,0.0248253742844969,0,0.140853583223641,0,0.150884916114431,0.00691831465213613,0.0709866390589715,0.220242749589274,0.0432275273945089
"merge_spot4",0,0,0.114512378551811,0,0,0,0,0.0159407785241708,0,0,0.00724879553332925,0,0,0,0,0.0455129875621368,0,0,0,0,0,0,0,0,0,0.0160494001395983,0,0,0.176573008545525,0.140215638669325,0,0.030976531642801,0,0.0317400949284191,0,0.0757731419457977,0,0,0.182584565655589,0.161986971100904
"merge_spot5",0,0,0.224024791229418,0,0,0,0,0,0,0.0799953117246568,0.00650775244162158,0,0,0.024675112353804,0,0.0478862061959658,0,0.0100179234651165,0.0147144511939735,0.0155037107907994,0,0.0302428203030982,0.0133232048445977,0,0,0.042995359865452,0,0.00585301717803735,0,0,0,0.124680164346003,0,0,0.01312552459547,0.0853755301093209,0,0,0.164389685416438,0.0958889688963616
"merge_spot6",0,0,0,0,0,0,0,0,0,0.0360039345169535,0.00313029036643322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207125393975382,0,0,0.173906752555314,0.0616393797869445,0,0.129305413563579,0,0.119553603103012,0,0.0626288891231743,0,0.144242073935316,0.144674021753142,0.103368711181488
"merge_spot7",0,0.0374182758299368,0,0,0,0,0,0.00321857506673846,0,0,0.00125467993106991,0,0,0,0,0.0554008760267238,0,0,0,0.015194368113103,0,0,0,0.00786480150845746,0,0.0752305512818689,0,0,0.0578593083880743,0.148961187024263,0,0.099550776611159,0,0.0864378723477735,0.0116595177664744,0.0575337257239679,0.0268943808425529,0.0792061413561461,0.208977710074556,0.0264186438405387
"merge_spot8",0,0,0.0279530182485552,0,0,0,0,0,0,0,0.00312140362787587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565312038406171,0,0,0.37527970846972,0.0414320892873172,0,0.0061604165803397,0,0.15469028772662,0.0353838297424162,0.0773419057770966,0.0391403363202392,0,0.181044441251273,0
"merge_spot9",0,0,0,0,0,0.0319821871644085,0,0,0,0,0,0,0,0,0,0.022068106534827,0,0,0,0,0,0,0,0.0361406387667847,0,0.0719403884162075,0,0,0,0.016078192955642,0,0.18883815477896,0,0.268803234407285,0.00411876290498832,0.01280694723709,0.0483790208614584,0.0812993381575376,0.209066602394537,0.00774446356346042
"merge_spot10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434070842310492,0.00328555420615734,0,0,0.0478397081529914,0,0,0.0209233929654705,0,0,0.0248339218864326,0,0.012428596009469,0,0.0897548151081316,0.015064717670134,0.12730783928284,0,0.106478923456408,0.00404792546131861,0.131902533015125,0.0351322891438399,0.0842124399152135,0.208283366917862,0.043636137514652
"merge_spot11",0,0.0178613265650439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489620220966441,0,0,0,0,0,0,0.0155381231780703,0,0,0.052054634787593,0,0,0.0285665659455724,0.0696069839732172,0,0.0548754093891906,0,0.0950457265936807,0.020287153796372,0.0914490056334178,0.0890103899247657,0.201584074906617,0.213964402269831,0
"merge_spot12",0,0.00372890554928147,0.0220398943744534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034285932642445,0,0.00450287022343076,0,0.00531731022132128,0,0.065503456077338,0,0,0.101977547513369,0.0546176737405341,0,0.0973914903011028,0,0.12232805944065,0.0194739430410262,0.0308074088391943,0,0.11445542637639,0.288687696101784,0.0338865597066585
"merge_spot13",0,0,0,0,0,0,0,0,0,0.0593175435599427,0.0015944023042002,0,0,0.0106330780106249,0,0,0,0,0.0237894501735325,0,0,0,0,0.00310805225446837,0,0.022488200526389,0,0,0.0872078772852966,0.00394825588137615,0,0.111679663347527,0,0.111917473246507,0.014217634652562,0.101952102023336,0.100770906602355,0.053551325528321,0.292743451059035,0
"merge_spot14",0,0.0262279297161685,0,0,0,0.00458971128586346,0,0,0,0.0237445246611142,0,0,0,0,0,0.0227450045118846,0,0,0,0,0,0,0,0.0143135098502042,0,0.0525891706026522,0,0,0,0.107502033487575,0,0.162774753956418,0,0.131043892135706,0,0.0800195035868829,0,0.129613495383315,0.24291576345418,0
"merge_spot15",0,0.0206584098238279,0.0945419557594961,0,0,0,0,0,0,0,0.00108066493720891,0,0,0,0,0.0430743782369441,0,0,0,0,0,0,0,0,0,0.0287055428054006,0,0,0,0.0748952097620418,0,0.0868821953481307,0,0.0910811199063116,0.00286391808040853,0.0771027244497356,0.132986808354532,0.0115704305771627,0.233095515257786,0.0999434574809526
"merge_spot16",0,0,0.116527057989381,0,0,0.027047431870704,0,0,0,0,0,0,0,0,0,0.0562615180272682,0,0,0,0,0,0,0,0,0,0.0384561115492876,0,0,0.270204623347487,0.103898836575321,0,0.0134809377319168,0,0.112176446504265,0,0.0295187471109266,0.0923320595557511,0,0.138963109019893,0
"merge_spot17",0,0,0,0,0,0,0.0031169151404114,0,0,0.0978689378100127,0.00159385513959539,0,0,0,0,0,0,0,0,0.0711734645909632,0,0,0,0,0,0,0,0,0,0.0484758930540777,0,0.0565352113622568,0,0.126162751766751,0.0279224528116904,0.134153027653638,0,0.177750383891792,0.212870415825204,0.0412921001815053
"merge_spot18",0,0.0158609642341218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026129582125669,0.023352282987291,0,0.0186127404528852,0,0,0,0,0.016641033533382,0,0.0578866483388321,0,0,0,0.0894598706764839,0,0.297882427623784,0,0.100491095963359,0,0.0240975711772521,0,0.0300403958898323,0.244916062474683,0.0527250999567233
