"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot1",0,0,0,0,0,0,0,0,0,0,0.0176421167140561,0,0,0,0,0,0,0,0,0,0,0.162247534055614,0.0542012689219727,0.111101504746311,0,0.0761851321117091,0,0,0,0,0,0,0,0.0025949210348533,0.0166826901973332,0.180525549455664,0.31540558558683,0,0.0139102244782163,0.0480085444778989
"merge_spot3",0,0.0678808121519372,0,0,0,0,0,0,0,0,0.0216256368886854,0,0,0,0,0.0149296560778751,0,0,0,0.106921042868823,0.161687286276152,0.0208665233279988,0.0597875118574566,0.141380085591642,0,0,0,0.0069737023912687,0.146601777276334,0,0,0,0,0,0,0.0907207886625845,0,0,0.0227231012813133,0.137363050608354
"merge_spot4",0,0.194028192986154,0,0,0,0,0,0.0264392415618448,0,0,0.0477132228929419,0,0,0.0283517273512135,0,0,0,0,0,0.0781211009461861,0,0,0.0301186382058948,0.0901210788273342,0,0,0.0585240217621954,0,0,0,0,0,0.181862424275374,0,0,0.00894134856770529,0.165647151899552,0,0.0894212075332361,0
"merge_spot5",0.0526804847663358,0,0,0,0,0,0.00108853329037317,0,0,0,0.0211657280863069,0,0.0060569670315665,0,0,0,0.00270888804530398,0,0,0,0.267819234477722,0.0276610147654859,0.0800525969878328,0,0,0,0,0,0,0,0.0199494797967688,0.184624546438468,0.203392455733176,0,0.00337439171440773,0.0642714678649109,0,0,0,0.0645383752238854
"merge_spot6",0,0.03577158488288,0,0,0,0,0,0,0,0,0.0240606699677433,0,0,0.0587983703983087,0,0,0,0,0,0,0.144775637079561,0,0.0229921982630395,0.0797381081857191,0.0259215644117067,0.0330315881250875,0,0.0325102756531268,0,0,0.0522623645284131,0.160929235096806,0,0.0383412953230798,0.0507045520845465,0,0.111927972836786,0,0.0948520976597163,0.0328434365850862
"merge_spot7",0,0,0.0976498289014842,0,0,0,0,0,0,0.0475994541350259,0.0431074113687598,0,0,0,0,0,0,0,0.0317628338797104,0,0.305642920326182,0,0.0619978644237375,0.0829370067618137,0,0.022423827724886,0,0.052023602633362,0,0.0341409915486741,0,0,0,0.0346086864109882,0.0170744811322412,0.0467059734196975,0.0486528433979335,0,0.011172967914858,0.0617935593409616
"merge_spot8",0,0.0360855399786776,0.194209952052901,0,0,0.0466241847740694,0.00411236321744866,0,0,0,0.0381563185797508,0,0,0,0,0,0,0,0,0,0,0.0154821926266895,0.0616209590680867,0,0,0,0,0,0.0981514528627854,0,0,0,0.128119923914368,0,0,0.163448428138587,0.0464339825525775,0,0.0494156781421777,0.117404638592658
"merge_spot9",0,0.144203818091977,0,0,0,0,0,0,0,0,0.0490192647257892,0,0,0,0,0,0,0,0.103675131839371,0,0,0,0.0605001848647043,0,0,0,0.0852433058125824,0,0,0,0,0.248209526686597,0,0.0183718702448021,0,0.0229804862174641,0.175431964681325,0,0.0901347054524193,0.00106729426164045
"merge_spot10",0,0,0.0907584662351601,0,0,0.0227504045202166,0.00845348647523203,0,0,0,0.0318152114885105,0,0.00987924303366676,0.0667309008111024,0,0,0,0,0,0,0.210204273196728,0,0.0712928887277971,0.0215684470678313,0,0.017657087084609,0.00126500012935834,0,0.0222181169207664,0.019230764051726,0,0,0.0311145192530043,0,0,0.0505071382213365,0.0798219056889,0.0421590030834354,0.0612465766803837,0.140686123271736
"merge_spot11",0,0.0613849195679734,0,0,0,0,0.0127601899661667,0,0,0,0.0581035818257919,0,0,0,0,0,0,0,0.0518385044152973,0,0,0.0421006621430759,0.0532114078325949,0.0956796056159157,0,0.0864783405427696,0,0,0.148502176913891,0,0,0.0384081607591823,0.0642382687203351,0,0.00503009258595175,0.0593686089298616,0.0318119876022753,0,0.0689564210312722,0.120849076424994
"merge_spot12",0,0.0291081270005799,0,0,0,0.0246060735679702,0.0110952952221103,0,0,0,0.0782147330764606,0,0.00185626509722983,0,0,0.0343251894101519,0.145526344265562,0,0,0,0,0,0,0.0333309309457545,0,0.00112894564286154,0,0,0,0,0,0.283443292619976,0,0,0,0.132747924333912,0.0558830022436865,0,0,0.167550900976966
"merge_spot13",0,0.0519440837150156,0.0416371364777125,0,0,0.0267207554900812,0.00192936417533804,0,0,0,0.0625052656655296,0,0,0,0,0,0,0.00221093269044419,0.14157884364123,0.0660038488481561,0,0.0483672307116506,0.0826929829188788,0,0,0.00577008573927296,0,0,0,0,0.0226686981745258,0.125631083594869,0,0.0272135069510895,0,0.0435849557227666,0.0339239364407531,0,0.0745123673511016,0.139943996590016
"merge_spot14",0,0,0.226045459884973,0,0,0.00871287586928104,0,0,0,0,0.0497412407872312,0,0,0,0,0.0223332000621567,0,0.184916374510073,0.0217354930618874,0.0326083689771751,0.151280172098863,0.0221026117456758,0.016796677866322,0,0,0,0,0,0,0,0,0.0119656874422455,0,0,0,0.0406310926877795,0.0956765775664002,0.0252049529142347,0,0.0894888790875938
"merge_spot15",0,0.0739735384561063,0,0,0,0,0.00838093300522308,0,0,0,0.0863607275563073,0,0,0,0,0,0,0.0529101499569828,0.211474580118581,0,0,0.0681320629395513,0.0931247048698035,0,0,0,0,0,0,0,0,0.135329059210248,0.0173162125615047,0,0,0.0249815221704016,0.0304653315465478,0.00287566792660779,0.0250658977833697,0.167978130519842
"merge_spot16",0,0.0835037160481358,0,0,0,0,0,0,0,0,0.0539917227248687,0,0,0,0.0540789252690568,0.045444129648211,0,0,0.299472225668334,0,0,0.110332632323858,0,0.0286985819685232,0,0.0235543418958459,0,0,0,0.0234574070436732,0,0,0.101508521374947,0,0.0325886585466706,0.0418923542131888,0.0102717057218672,0,0.0714418423127599,0.0188108570735829
"merge_spot17",0,0.0656631953643759,0.0387665135442135,0.0233188682814594,0,0,0,0,0,0,0.0507124826982382,0,0,0,0,0,0.0880101964278479,0.0272123792119671,0,0,0,0.10050702518616,0.0503580816104936,0.138608158285439,0,0.0522516418862225,0.00418735876832508,0,0.0706101331041423,0,0.00723457320851415,0.143295243770756,0,0.00963691085117712,0.010317660476682,0,0,0,0,0.118176047715501
"merge_spot18",0,0.0841677288679164,0,0,0,0.0601363339960074,0,0,0,0,0.135174380426656,0,0.0451838281250528,0,0.0150873376167564,0,0,0,0,0,0,0.0584794262419113,0.0962076546745565,0.0132354696355085,0,0.0174152944024661,0.0315543195458337,0,0.0945667701310466,0,0,0.034685677018376,0.099368524181585,0,0,0.0394680919856146,0.0175045753879653,0,0.0314894207644084,0.124875930423712
"merge_spot19",0,0,0,0,0,0,0,0,0,0.10918890094633,0.0606633789487056,0,0,0.0625262986528781,0,0,0,0,0,0.0615277949029217,0,0,0.062540961940058,0,0,0.0421321996087241,0,0,0.190840618933027,0,0,0.0127331545758815,0.118123029014608,0,0,0.0353887661088679,0.037465411874251,0,0.0232638578585687,0.182144508476294
"merge_spot20",0,0.116264120220332,0.00331519001487123,0,0,0,0,0,0,0,0.0150796756137395,0,0,0.0283139006696844,0,0.0192732798949039,0,0,0,0,0,0,0.269132306560198,0.0138841456599088,0,0.125716107354791,0,0,0,0,0,0.177518357184253,0,0,0,0.0701509774562028,0.0545630888164548,0,0.0260507812834418,0.0784062849397981
"merge_spot21",0,0.18061684611909,0,0,0,0,0,0,0,0,0.0208892224806913,0,0,0,0.00476152110918141,0,0,0,0,0,0,0,0.178540330775636,0.129715614056454,0,0.0385013764914007,0,0,0,0,0,0,0.0597695329526123,0,0,0.213535168875866,0,0,0,0.172377028344858
"merge_spot22",0,0.0126948573424802,0,0,0,0,0,0,0,0,0.013354603133468,0,0,0,0,0,0,0,0,0,0,0,0.0628579925094729,0.150146048463812,0,0.0219125512295959,0,0,0,0.0240300158943326,0,0.0570568620563767,0.30377036284106,0.00746391383365201,0,0.170523151754506,0,0,0.0672114278741124,0.108155659279519
"merge_spot23",0,0.0526904059011421,0,0,0,0,0,0,0,0,0.0273586373756895,0,0,0.0627572492173691,0.00387384400026711,0,0,0,0,0,0,0,0.0363614019041914,0.182303062724387,0,0.0715295213567936,0,0.0213209805899584,0,0,0,0.0777744209188519,0.202466131104117,0,0.00561825633332183,0.0810827087918374,0,0,0.0334087807067309,0.140400208658854
"merge_spot24",0,0.143916648010313,0,0,0,0,0.00953555554218991,0,0,0,0.0639702927550328,0,0,0.0789301606166082,0,0.0545103238772543,0,0,0,0,0,0,0.0936795471985872,0.217989068444059,0,0,0,0.0159855209325259,0.0601996578782865,0.0165437606777211,0,0.0483244153547493,0.0297646454732087,0,0,0.0686771161492254,0.0451852306012177,0.0211180529148385,0,0.0305570595558219
"merge_spot25",0,0.134661243455842,0,0.0142477930092936,0,0,0,0,0,0,0.0329227718637828,0,0.0394181786881685,0,0,0.0637482675260656,0,0,0,0.00133108676302945,0,0,0.221447119059229,0,0,0,0,0,0.0624048648329916,0.0106565429365471,0,0.0995141356011499,0.0255452507573656,0,0,0.191043356462989,0.0137360274589221,0,0.00241500523478262,0.0861541106798962
