"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674345973018801,0,0,0,0,0.0434372093125859,0,0,0,0,0.172328975434364,0,0,0,0,0,0.0553552140856899,0,0,0,0,0.111556513960727,0.0526350770353716,0,0.411604176865863,0,0.0845256572406312
"merge_spot2",0,0,0,0,0,0,0,0.00751927312790653,0,0,0.00325383598226485,0,0,0,0.00860956779097837,0.0633341926440667,0.0191954430110665,0,0,0,0,0,0,0.0147315122980021,0,0,0,0,0,0.141996885214366,0,0,0,0,0.168309677153325,0,0,0.39627796672947,0.176080313685325,0
"merge_spot3",0,0,0,0,0,0,0,0.0138721813747967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00895472511775265,0,0,0.755362661070383,0.220809284638392,0
"merge_spot4",0,0,0,0,0,0,0,0.0324269729301299,0,0,0,0,0,0,0,0,0,0,0,0.0465324246227016,0,0,0,0,0,0,0,0,0,0.278169598350545,0,0,0,0,0.0293062314183706,0,0,0.250591098673126,0.361996701902858,0
"merge_spot5",0,0.03344180236236,0,0,0,0,0,0,0,0,0.00703040937058109,0,0,0.0499036931584847,0,0,0,0,0,0,0,0,0.0515109874391368,0,0,0,0,0,0,0.0427344604039133,0,0.0787531242531886,0,0,0.0159944368949295,0,0,0.710291150382255,0.00980567820236244,0
"merge_spot6",0,0,0,0,0,0,0.0398111461804197,0,0,0,0,0,0,0,0,0,0,0,0,0.0086411393194072,0,0,0,0,0,0,0,0,0,0.194272556357658,0.0586616247243983,0.0259113316965352,0,0,0.005976119603206,0,0,0.554858008977837,0.110958791358834,0
"merge_spot7",0,0.00176038441742612,0,0,0,0,0.0153857601946301,0.0203385347950293,0,0,0,0,0,0,0.00806224601201319,0.0187186273248771,0,0,0,0,0,0,0,0,0.0371852642200165,0,0,0,0,0.0720185716620679,0,0.0376816379333696,0,0,0,0,0,0.438780483910694,0.349500213798923,0
"merge_spot8",0,0,0,0,0,0,0.00612592377279512,0.00922746879054169,0,0,0,0,0,0,0,0,0.00762210140946185,0,0,0.0273816294536259,0,0,0.0416414731695366,0.00354906274194042,0,0,0,0,0,0.0571936460891033,0,0.00645064612783535,0,0,0.00220794904274742,0,0,0.59190892529542,0.245821388288958,0
"merge_spot9",0,0.0146097259390082,0,0,0,0,0,0,0,0.0155654629356873,0,0,0,0,0,0,0,0,0,0.0179060751110292,0,0,0,0,0.0912312011542061,0,0.14173622176898,0,0,0,0,0.0158661447353456,0,0,0,0.0104484841473427,0,0.503448432360372,0.187520510330082,0
"merge_spot10",0,0,0,0,0,0.024283472615007,0,0,0,0,0,0,0,0,0,0.0242579298583801,0,0.00372263401460002,0,0.017980904800568,0,0,0.0547656737311369,0,0,0.0507854713421938,0,0,0,0.0205741190776712,0,0,0,0,0,0.00671557549194115,0,0.74387441737716,0.0523594197340863,0
"merge_spot11",0,0.0570586022889398,0,0,0,0,0.00958922582813089,0.0127614783948021,0,0,0,0,0,0,0,0.00900455911467297,0,0,0,0.0243255809589407,0,0,0.0384589855197829,0,0.0334376970219866,0.00693294531973725,0,0,0.00526783130797612,0.128712742411667,0,0,0,0,0,0,0,0.291582953811932,0.374763363037017,0.00677529612507888
"merge_spot12",0,0.0390625530810688,0,0,0,0,0.00787414052151388,0.00875708508704741,0,0.0326404048681398,0,0,0,0.00524920854657457,0,0.0642362170935097,0,0,0,0.0500463375955955,0,0,0,0,0,0.0925228198258644,0,0,0,0.0172136484632287,0,0,0,0,0.0132634077283227,0,0.012464578994466,0.321188194152348,0.325328899063254,0.00910621301868711
"merge_spot13",0,0,0,0,0,0,0.0121318864153687,0.00164004394740464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10494346158929,0.0159598744534277,0,0.197446074204991,0,0,0,0.0358097101099527,0,0.0913482217445597,0,0,0,0.00699103411551731,0,0.110596201881848,0.414731459748672,0.0075815376368421
"merge_spot14",0,0.0016622907572613,0.177059877792814,0,0,0.00986981359911122,0.00426296444583325,0.0200538524327541,0,0,0,0,0,0.0164383266189536,0,0.0651445848724069,0,0,0,0,0,0,0.0310918370453625,0,0,0.0354173508183233,0,0,0.0314885760201704,0,0.107908968899965,0,0,0.0148325203383411,0,0.00241631122613049,0,0.0737797953734733,0.407922076498806,0
"merge_spot15",0,0,0.109535487514775,0,0,0,0,0,0,0,0,0,0,0,0,0.0214077079453804,0,0.0030310840807309,0,0,0,0,0.0924077084171644,0,0,0.116878353560508,0,0,0.0222057971970787,0,0,0,0,0,0.0205366095640638,0,0,0.24682058941466,0.292494704022114,0.0737149960838967
"merge_spot16",0,0.0189063835744363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458777647028186,0,0,0.443084154106653,0,0,0,0.0164199853594861,0,0.0731354285449083,0,0,0,0.00861575205402747,0,0.120318720838627,0.215575818881532,0.0571199453605331
"merge_spot17",0,0.0256645513748107,0.00761772858391327,0,0,0,0,0,0,0.0316168165968799,0,0,0,0,0,0,0,0,0,0,0,0,0.102531430719849,0,0,0.312941187866138,0,0,0.107214333876033,0,0,0,0,0,0,0,0.147330762574223,0.0356625284286433,0.228736959843907,0
"merge_spot18",0,0,0,0,0,0.079738656377724,0,0.00216784186875178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916150990848271,0.0474436207296922,0,0.132805551017294,0,0,0.522381464297611,0,0,0,0,0,0.0196720881913373,0.0433841579139214,0,0,0.0438222584357227,0.0158405838302029
"merge_spot19",0,0.12558111288739,0,0,0,0,0,0.0124615264359353,0,0.0181265806301798,0,0,0,0.125989076272134,0,0,0,0,0,0,0,0,0,0.134646371492133,0,0.0939074454594414,0,0,0.337580851115973,0,0,0,0,0,0,0,0.00966525809809489,0.057402253355451,0.0835782065284784,0
"merge_spot20",0,0.167870164631428,0.369699584548004,0,0,0,0.00437618764258052,0.00647378686080052,0,0.0933203992682755,0,0,0,0,0.00771553161916309,0,0,0,0,0,0,0,0.0293196848193891,0,0,0.0417114039073628,0,0,0.0807633090238247,0,0,0,0,0,0,0,0.035771474706448,0.00792221361925102,0.139444737900911,0.0146460641650427
"merge_spot21",0,0.266684289712329,0,0,0.0389222557791289,0,0.00240437710693325,0,0,0,0,0,0,0,0,0,0,0.0507655728693989,0,0.0149855119246084,0,0,0,0.07572449165741,0,0.0522005467073214,0,0,0.258665250101555,0.0385261243385604,0,0.0137346600652079,0,0,0.00760341543173512,0.0145364138125744,0.0759164936736692,0,0.0514113212066099,0.0370369281960436
"merge_spot22",0,0.0115885252641292,0.278962787694225,0,0,0.0843961706837305,0,0,0,0.00627948757632211,0,0,0,0,0,0.073244019088235,0,0.00962494791524222,0,0,0,0.00166403798456712,0,0.0389379135505696,0,0.0853484935081148,0,0,0.0497313379412422,0,0,0.169089007562174,0.0499171569134424,0.0140582738856047,0,0.0591528105715665,0.0297229836800062,0,0.00959577604765053,0.0272777606032645
"merge_spot23",0,0,0.171937004455507,0,0,0.0220699350611441,0.00337249742033779,0.00885817845221664,0,0,0,0,0,0.0327064909387633,0,0.00451427786385973,0,0,0,0,0,0,0.029786678145519,0.0169487162854496,0,0.234160411464854,0,0,0.0288221599922954,0,0,0.13752224292594,0,0,0,0.0205894555093839,0.188320675927372,0,0.0444637359454473,0.0553071074068244
"merge_spot24",0,0,0.109399288804916,0,0,0,0.00798814472345871,0,0,0,0,0,0,0.0272833342175712,0,0.0334794948308643,0,0.00108150221815802,0,0.0011967508005286,0.203836670083285,0,0,0.0980946193078452,0,0.289845215993356,0,0,0.00431660839349052,0,0,0.00831366496708645,0,0,0,0.00934117675549103,0.0829360220795165,0,0.0445037174896895,0.077829314390613
"merge_spot25",0.056166705662615,0,0.0648490427192165,0,0,0.00222784762822468,0.00210391394263045,0,0,0,0.00742272719712512,0,0.0431758266058501,0,0,0,0,0,0,0.0257053224983542,0,0,0.0117561268433585,0.104312411309266,0,0.106454307076128,0,0.00926960339419224,0.251042831499295,0,0,0,0.1958610306421,0,0,0,0.0182684375530816,0,0,0.100674877473266
"merge_spot26",0,0,0.119209316023879,0,0,0.00209801654034829,0,0,0,0,0.0172837922894828,0,0.0442560935605779,0,0,0.00319982876674749,0,0,0,0,0.107709444984507,0,0.14924032729308,0.149696430445912,0,0.0481068343216827,0,0.0665071788945162,0,0,0.00246295124636988,0.11659133118146,0.023871712785656,0.0205635736367466,0,0.0757413566486502,0,0,0.00431154029501304,0.048466054231102
"merge_spot27",0,0.0244877101239443,0,0,0,0.0295603722597336,0,0,0,0.0059164391502771,0.0542649625742656,0,0.109877876912055,0,0.00645381645602592,0,0,0,0,0,0,0.0272526313919537,0.126821485227616,0.0865176056580081,0,0,0,0.25984330559708,0,0,0.0238814495474419,0,0.0217947282593355,0,0,0.128844148230467,0.0675281811239592,0,0,0.0266137734698356
"merge_spot28",0,0.0200364041454046,0.265596918246868,0,0.0292783885917311,0,0,0,0,0,0.0168329794353991,0.00357320734426982,0.0627511527869098,0,0,0,0,0,0,0.00834424836433519,0,0.0109981944024256,0.0497070798871613,0.0812445605337785,0,0.0635144780642206,0,0.119267038850028,0,0,0,0.162391073086435,0,0,0,0.0536265189913524,0,0,0.00770360744177621,0.0442830868518569
"merge_spot29",0,0.00451841471198912,0.17475058464166,0,0.0709851415684178,0,0.010557546214938,0,0,0,0.0187388454950559,0,0.0671036042905388,0,0,0.00319148214724374,0,0,0,0,0.0880331318856418,0.00989438999095434,0.189455372410841,0.0150652517376042,0,0.0282636758876008,0,0.0994585810964844,0.00915755511794109,0,0,0,0.0582319001489355,0,0,0.07491554544845,0.0446147037764343,0,0,0.0326452278001803
"merge_spot30",0.0257264669618117,0,0.143382549197637,0.0146141741617801,0.0937032847413158,0,0.019134547998013,0,0,0,0.0120441324976668,0,0.00274218173479126,0,0,0,0,0,0,0,0.0875426803658506,0,0.0681029441299956,0.124969002266659,0,0.0450413541667422,0,0.087359784203511,0,0.0017213293746678,0,0.00638339211791903,0.149758163236734,0.00262975766427045,0,0.0371606733681039,0.0100526328619009,0,0.00621912511056993,0.0612979178100855
"merge_spot31",0,0.11442564043166,0.0305786027276382,0,0,0,0.00116733774425392,0.00888939388204059,0,0,0.0057699519430223,0,0.0164621369941884,0,0,0,0,0,0,0.0124392409878696,0.145984111325051,0,0.0505181238096935,0.101039786808212,0,0.0387338532837714,0,0.0261696104869403,0,0,0,0.0334964125693043,0.120936023759971,0.065625176376879,0,0.0895097171922205,0.073103639557717,0,0,0.0646907542037854
"merge_spot32",0,0.121401447913584,0.0712273215385574,0,0,0,0.00592344373443148,0,0.00489810588419796,0,0.00394051993698496,0.0214536885228908,0.0331957831966727,0,0.00107567697682987,0.00424412382310638,0,0,0.0025624933513535,0,0,0.00519101743482576,0,0.256667603216141,0,0.0928314892774929,0,0.0584532348932495,0,0.0109225288023653,0,0.0974334312914228,0.0358888794682524,0.00955965022670574,0,0.0455164452821384,0,0,0.0764388775852103,0.0404371996090545
"merge_spot33",0,0.0912586054460305,0,0,0,0,0.0139017129391897,0,0,0,0.00891008606370994,0.0396095552676299,0,0,0,0.00229801201597201,0,0,0,0,0,0.00528421941478928,0.0386355540359024,0.147461751632935,0,0.0164150122198831,0,0.142962100095832,0,0,0.0105829843993119,0,0.213674103519664,0.0178415142401585,0,0.0821556946310562,0.0379540414351751,0,0.0543829601973046,0.076108267578366
"merge_spot34",0.0894278012460035,0.0397997426816139,0.0313775469201315,0,0.0326640964023207,0,0,0,0,0,0.00630393326505662,0,0,0,0.0058297338334562,0.0169127948406358,0,0,0,0,0.261748959870056,0,0.0551640766382726,0.122762121714142,0,0,0,0.089694086194795,0,0,0,0.0352851042890076,0.0864956338480909,0,0,0.0373724184862032,0.0366230415999521,0,0,0.0521294981985896
