"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot3",0,0,0.0483558118700974,0,0,0,0,0,0,0,0.0481555574077864,0.00659335056934128,0,0,0,0.0149081419253482,0,0.0473103440804162,0,0,0,0,0,0,0.114826006444119,0,0.0176893932120882,0.133425438243334,0,0.164469754891953,0,0,0.27110109085227,0,0,0.10856621301489,0,0,0.0237513019620788,0
"merge_spot4",0,0.00922796127196423,0.0853123733573588,0,0,0.0614212550130345,0,0,0,0.0155157603077182,0.0191374603096833,0,0.0064809933301258,0,0,0,0,0,0,0,0,0,0,0.205996974963901,0,0,0.0145401933740492,0.0200625586905223,0.0489771393736369,0.16757504034026,0.124119917793875,0,0.065750216710465,0,0,0,0,0.0836383099311899,0.0716863227354073,0
"merge_spot5",0,0,0,0,0,0,0.019686119906426,0,0.0861348841231135,0,0.0269457579295827,0,0.0220031171746912,0.0105172756261818,0,0,0,0,0,0,0,0,0,0,0,0.0263493896369348,0,0,0,0.0567472965145157,0.369074227113812,0,0,0,0,0,0,0,0.26990109166849,0.111775562016008
"merge_spot6",0,0,0,0,0,0.0919958708768272,0,0,0,0,0.016326125945155,0,0,0,0,0,0,0,0,0,0.289593919118406,0,0,0,0,0.0383512091171372,0.126234792166985,0,0.0602146983634882,0,0,0.0581301943638791,0,0,0,0.0245100688139618,0,0.151780800900109,0.0640687589392965,0.0782735355359801
"merge_spot7",0,0,0,0,0,0,0.0320124649133576,0.0370189712648159,0.0266305032105228,0,0.0220366286381111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178848518720919,0,0.0213216451456268,0.151603928680768,0.0992779798340183,0,0,0,0,0,0,0,0.126920979045947,0.177026440654712,0,0.126863281749793
"merge_spot8",0,0,0.0272766477578131,0.0340478104408681,0,0,0,0,0,0,0.00532293656065895,0,0,0,0,0,0.086957525973544,0,0,0,0,0,0,0.0310016618390536,0,0.115821031784392,0.0236285551111259,0.0993273911160381,0,0.0135661367938464,0,0.251164823546171,0,0.0529761628927231,0,0,0.0514769115433923,0.206804120706279,0,0
"merge_spot9",0,0,0,0,0,0,0,0,0,0,0.0124979631491907,0,0.0211350358524617,0,0,0,0,0,0,0.270525815558978,0,0,0.0637270749068878,0.0574417372106903,0,0,0.00816387513479659,0,0.0468374942592312,0,0,0,0.0219060165223172,0,0.0347829561368975,0.0185132081744055,0.102767692321508,0.269562956495556,0.0143541347865824,0.0572441291229608
"merge_spot10",0,0,0,0,0,0.0606521415246959,0.017233657060581,0,0,0,0.0118956457709573,0,0,0.0638192933061885,0,0,0,0,0,0,0,0,0.058770037579945,0.239460080776921,0.0717417786815213,0,0,0.020464745820604,0.304425791738523,0,0,0,0.0286818697567906,0.0263773635406616,0,0,0,0.0448648151603583,0,0.0512313606217059
"merge_spot11",0,0.071112859146933,0,0,0,0,0,0,0,0,0.00914294100015684,0,0,0,0,0.080392365046713,0,0,0,0,0,0.0113973347454048,0,0.271707762575348,0,0.0432656484472569,0,0,0,0.0676378134137565,0,0,0.0400837788766995,0.0312963001370373,0,0,0.108017909127404,0.126719843569744,0.0736166891905894,0.0647712229616854
"merge_spot12",0,0,0,0,0,0,0,0,0,0,0.0222129697597987,0,0,0,0.0408655514350306,0,0,0,0,0.0972483535177433,0,0,0,0.180517077538512,0,0.0133329873663472,0,0.0073498999949015,0.096602141183541,0.0126988693140208,0.135415527670138,0.0340641654954361,0,0.10451039529211,0,0,0,0,0.160054685286183,0.0944587641063682
