"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot2",0,0.0642454353827911,0,0.0284394188794479,0.385551572283563,0,0,0,0,0,0.0427228604591038,0,0,0,0,0,0,0,0,0.0468504517766884,0,0,0,0.200913755285492,0,0.230556878740907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"merge_spot3",0.00547762271764959,0,0.047860880573039,0,0,0,0.00775767533683105,0,0,0.287122406497428,0.00170848505656926,0,0.00162243742235134,0,0,0,0,0,0,0,0.172316778496666,0.00615749385823382,0,0.0436955913758543,0,0.0165339850208209,0,0,0.177342528128918,0,0.0849248243325812,0.0943875405329103,0.0461244168016667,0,0,0,0,0,0,0.00671905128219862
"merge_spot4",0,0.0642756364268939,0,0,0,0,0.00727166298681275,0,0,0,0.0181872487777291,0,0.00160884450982295,0,0,0.0474588456930435,0.0903562881318846,0,0,0,0,0.0493346877356112,0.184608753191477,0,0,0.234602969988858,0,0,0,0,0,0,0,0,0,0.0696716605908392,0.0120385570103826,0,0.219746068160786,0
"merge_spot5",0,0,0.0219793108606338,0,0,0,0.010079905858144,0,0,0,0.0128183291953914,0,0.0116687563991227,0,0,0,0,0,0,0,0.329344986306727,0,0.0477127256527009,0,0,0.0664648454685282,0,0,0,0.030431634729142,0.0410064253430269,0.25259364883231,0,0,0,0.175346315275916,0,0,0,0
"merge_spot6",0,0,0.0630387280723319,0.0577017674241931,0,0,0,0,0,0.0506205573063804,0.026694879389828,0,0,0,0.056589485977524,0,0,0,0,0.115931138435717,0,0,0,0.0690466883860694,0,0.0786159734907308,0,0.0949445832992381,0,0.0515125516289394,0,0.0682924694723649,0,0.0747474711044068,0,0,0,0.0517117183657386,0.139817644319657,0
"merge_spot7",0,0,0,0,0,0,0.0228507559023111,0,0,0,0.0176534619813612,0,0.00708322277698896,0,0,0,0,0,0,0.143861062485046,0.449373255017389,0,0.0103777568057512,0.0420556107612822,0,0.0840495449395274,0,0.0298695180128547,0.0452734311768113,0,0,0.0899948660426108,0.0504105973593904,0,0.00386465082471135,0,0,0.00260147852114532,0,0
"merge_spot8",0,0.0603395723197989,0.250511329727788,0,0,0,0,0.0654170093821479,0,0,0.0282223298659827,0,0,0,0,0.12628860357331,0,0,0,0,0,0,0.0256430476164122,0.0171038690556967,0,0,0,0,0,0,0,0,0,0.111225760151005,0,0,0,0.314380337534416,0,0
"merge_spot9",0,0,0,0,0,0,0.00286678683340674,0,0,0,0.00679374491198603,0,0,0,0,0.135640496887057,0,0,0,0.170102973654626,0,0,0,0.0180564002744361,0.00449297002712899,0.0137440727524577,0,0.102659431243827,0.110963781551902,0,0.0379533735855633,0.253091130099907,0,0.0360936306001539,0,0.0278577812898852,0,0,0.0307149362593776,0.0484922149715933
"merge_spot10",0,0,0.231194885349245,0,0,0,0.0361563264797611,0,0,0,0.0274963204282979,0,0,0.116636906680911,0,0,0,0,0,0,0,0,0,0,0,0.267143858696117,0,0,0.0598091381924446,0,0,0,0,0.0973261029858091,0,0.0145475608809366,0.0369472322354452,0,0.112025652067013,0
"merge_spot11",0,0,0.198061868418469,0,0,0,0.00507932939851027,0,0,0,0.014638228991379,0,0.0392353711816738,0,0,0.0418323963998974,0,0,0,0,0,0.00134870065450007,0.169532771577328,0,0,0,0,0,0,0,0.324317120181524,0.050406178413991,0,0.00778570553409563,0.0788914869671246,0,0,0.0428057809559328,0,0.0256425087163006
