"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot1",0,0.0405919735906229,0,0,0,0,0.0100003565402952,0,0,0,0.0807743234376323,0,0,0.0498158831543139,0.0365256289158427,0,0,0,0,0,0,0,0,0,0,0.0276207934945478,0,0,0.153625212075235,0.00592224274778092,0,0,0.0674063571161714,0.0166327786221542,0.092140672446939,0.166039751786775,0.223371343471115,0,0,0.0289257986606098
"merge_spot2",0,0,0.0328146377683991,0.00792506409704594,0.0858468083551739,0,0,0.0103305854955279,0.0256227773529913,0,0.0470039951566816,0,0.113533414536482,0,0,0,0,0,0,0.0224578717080586,0,0,0.182983163715524,0.028722916335176,0,0.00590004802830148,0,0.0195933196840377,0.0528505147271814,0,0,0.0838455631014649,0.13345307095357,0,0,0.042137175920357,0.0850466792185616,0,0,0.0194228536875989
"merge_spot3",0,0.0776037526292621,0,0.0324987567998091,0,0,0.00649214360229849,0,0,0,0.0708780324654019,0,0.0793401059423816,0,0.0683403019564911,0.0190871802445027,0,0,0,0,0.164121173952522,0,0,0.0855403223443083,0,0,0,0.0931305332384992,0,0.0107860481520777,0,0,0.0663596531851708,0,0,0.060408065574957,0.0754585036992546,0.0178110243042727,0.0285511052161004,0.0426459269324659
"merge_spot4",0,0,0.171858993370683,0.0245667176716352,0,0,0,0,0.0533099612359083,0,0.137481095066092,0,0.0654083085218714,0,0,0,0,0,0,0,0,0,0.123467453198689,0,0,0.0172992345693966,0,0.147384151502312,0,0.011820865235871,0.0527253645762199,0,0.0237210257127538,0.0198658092931501,0.0104928685040663,0.0362587013468565,0.0181830820873437,0,0,0.0856235805275788
"merge_spot5",0,0.0643123268635079,0,0.0799350808089054,0.0372194029513489,0,0.00800184148615315,0,0,0,0.0850762715490063,0.0326563466482849,0.152532209265388,0,0,0,0,0,0,0,0,0,0.0954869552271928,0.045961981106567,0,0.0075210578554225,0,0.149610685425809,0,0,0,0.0198593774516631,0.0611095653631628,0,0,0.0262987731653962,0.0587671430020884,0,0.0153770032023311,0.059735662611391
"merge_spot6",0,0.0699979696164679,0,0.0479308052128342,0,0.0164940397113671,0,0,0,0,0.109794726514807,0.0762177153371969,0.0793638159032205,0.0230847250352601,0,0.00282585062180002,0,0,0.026982358212852,0,0.121825821031647,0.0192421653015321,0,0.150565353530721,0,0,0,0.126392787891947,0,0,0,0,0,0.0264193388791162,0,0.041504054807636,0,0,0,0.0608468962085641
"merge_spot7",0.0761905479974506,0.0487426301095101,0,0.0287349338645066,0,0.022350499233295,0.00939573937580828,0,0.0244467901531259,0,0.0897207586682007,0,0,0,0,0.0327257100311023,0,0.00168540373277778,0,0.0578820253592734,0,0.0209566367562595,0,0.196985587253674,0,0,0,0.0540060462739442,0,0,0,0,0.111896476219367,0,0,0.031344455476236,0.115907593797065,0,0,0.0757496729812723
"merge_spot8",0.0120723764103217,0,0,0.0080288551934235,0.0829519289068638,0.0408810037461179,0.0159756520407645,0,0.0106432991985243,0,0.0886833487104004,0,0.0355954027738181,0,0,0.00770441971080523,0,0,0,0.151085374361569,0,0.00463839601675081,0.00971104981108972,0.105392064018811,0,0.0050833202645796,0,0.100326147015012,0,0,0.0473010689665438,0,0.150146095560562,0,0,0.00207409292983219,0.0286012412341473,0,0,0.0926584860795741
"merge_spot9",0,0.0397274637920505,0,0.0537994004834217,0,0.0178728479748035,0.0162224179454778,0.0107611406787745,0.00203921925113638,0,0.0310766298049022,0,0,0.00180577744320659,0,0,0,0,0,0,0.348616169372871,0.0212309647939853,0.0352942691262305,0.0939521186695674,0,0.0333261771983493,0,0.0526508560043957,0,0,0,0.0182929398611337,0.0678709371250301,0,0,0.0177419813568968,0.0676725382530253,0,0.0514140226592772,0.0181496430833339
"merge_spot10",0.0146633665084366,0.0343947581393389,0.0399764176245412,0,0.00505792934979654,0,0.00861887734539865,0,0,0.028623440901784,0.031898718129379,0,0,0,0,0,0,0,0,0,0.244854782609263,0,0.0729627306525835,0.0900607832939314,0,0.0662826956592312,0,0.0132451490428951,0.102598469495732,0,0,0.00227455024457058,0.0338109902974383,0,0,0.0517955098632144,0.0943358185706583,0,0,0.0639098463240743
