"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot2",0,0,0.365778115991648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028444587146618,0.183550280163777,0,0,0,0,0,0,0,0,0.0389257338342822,0.0451591140419945,0,0.00549360926088072,0,0.051807201960287,0,0.0865751463012941,0,0.00569973560389846,0.109179438396883,0.0787927822744766
"merge_spot3",0,0.12961997886718,0.229987877852717,0,0,0,0,0,0.0198942574841292,0,0.0101751327520197,0,0,0,0,0,0.0734203832579654,0,0,0,0,0.0283564537887565,0,0,0,0.0603201717050019,0,0,0,0,0,0.113770177644973,0,0.0562698539915677,0,0,0,0.241367228664425,0,0.0354222399253063
"merge_spot4",0,0.0874421571630144,0.250070954065254,0,0,0,0.0104475561480998,0,0,0,0.0205268698998889,0,0,0,0,0,0,0,0.0324904767941277,0.010720490450696,0,0.0385628616533498,0,0.0317512035451099,0,0,0,0,0.142007768260323,0.109443586102615,0,0.046028233670022,0.0128817450414617,0.0433974606583539,0,0.0611868439691798,0,0.0827326397759938,0.0139860012267749,0.00559396053919666
"merge_spot5",0,0.0944583202382875,0.157490831193909,0,0.0616372356954887,0.0771177940993061,0.0023608531267841,0,0,0,0.0505563637925724,0,0,0,0,0.0465278592076897,0,0,0,0.218999238702278,0,0.0128003885690396,0.0411625317680213,0,0,0,0,0,0,0.0209953733975652,0.132337021064339,0,0,0,0.0276889833098002,0.0545991903345406,0,0,0,0
"merge_spot6",0,0,0.513983144357215,0,0,0.0774791519496406,0.0047422017341972,0,0,0,0,0,0,0.022676539167394,0.0444505550284453,0.057409128472395,0,0.056505702019583,0,0,0,0,0,0,0,0,0,0,0.0545750693295898,0.0614541206569781,0,0,0.0297371573222779,0.0161975438924252,0,0.0465782972400606,0,0,0.0133454606171489,0
"merge_spot7",0,0.0042119007920807,0.387315122778099,0,0,0.0250842274628932,0.00282684221466179,0,0,0,0.00957891167825088,0,0,0,0,0,0,0,0,0.0102063339883471,0.365804241359005,0,0.0442374285438564,0,0,0.0188157303057364,0,0,0,0,0,0.0028498174671169,0.0439905303105084,0.0171625535282786,0.00699113046000733,0.0604839352790355,0,0,0,0
"merge_spot8",0,0.015276479794021,0.665700770090901,0,0,0,0,0,0,0,0.0372463248808672,0,0,0,0,0,0,0.0707771251528832,0,0,0,0.0427544777234468,0.0155988475494987,0,0,0.0135918415120086,0,0,0,0,0,0.0343824601426851,0,0,0.0440394880438629,0.0168898804397001,0.0428066001393166,0,0,0
"merge_spot9",0,0,0.588704055730453,0,0.038158667510907,0,0,0,0,0,0.0100643827278172,0,0,0.00974759831342458,0,0,0.0163995818951291,0,0,0.183852903035991,0,0,0,0.016752252508773,0,0,0,0.0271001271884255,0,0.0340048401818152,0,0,0.0321823151643099,0.0115636971414133,0.024970587984282,0.0056246044553174,0,0,0,0
"merge_spot10",0,0.016432088863644,0.570668062016908,0,0,0,0.0297029739864686,0,0,0.0303854430534006,0.00180213830865328,0.0272728620860125,0,0.174245265063197,0,0.0454465586486894,0,0,0,0,0,0.055326614900858,0,0.00776773864469204,0,0,0,0,0,0,0,0,0,0,0,0.0217661757697668,0,0,0,0.018297139877093
"merge_spot11",0,0,0.319323938374481,0,0,0.00454843716943419,0,0.00941798163350193,0,0,0.00170188030914774,0,0,0.0757865061456152,0,0.229698724981642,0.010762194993936,0,0.0179011185612168,0.241692414905441,0,0,0,0,0,0,0,0.00338246057239397,0.0611359413214104,0,0,0,0,0,0.0229565970545397,0,0,0,0,0
"merge_spot12",0,0.301985042444287,0.325236292874727,0.027830341182716,0,0,0,0,0,0.082849351369012,0.0623889091433364,0,0,0.0172997843665241,0,0.0324065313121675,0,0,0.00890839848136693,0.0180729932858486,0,0.0216657692852318,0,0.0271533803960585,0,0.00942395305800479,0,0,0,0,0,0.0535293084251397,0,0,0,0,0,0,0,0.0103076439145847
"merge_spot13",0,0,0.502564294515092,0,0,0,0.0222059010481716,0,0,0,0.0288135291718843,0,0,0.0112000234804132,0,0.026142282310717,0.0552522021548861,0,0.0162933570161425,0,0.207307140170431,0.0102922669400827,0.00741185841147592,0,0,0,0,0,0,0,0,0,0,0,0.0394433310642857,0.0241930634844406,0.0176551525285376,0,0,0.0306336320595689
"merge_spot14",0,0.06043807549781,0.357749231647846,0.013272894997354,0,0.052218207175919,0.137402465781227,0,0,0,0.0346863381812869,0,0,0,0,0.123308158645531,0,0,0.0120281406434638,0.0496133728752552,0,0,0,0.0224336864140475,0,0.0251151614512875,0,0,0,0,0,0,0,0,0,0.0338573492305903,0.0646237199928467,0,0,0.0120848154049208
"merge_spot15",0,0,0.564456188084333,0,0.0270557242186822,0,0,0,0,0.159181814970903,0.0378495868335006,0,0,0,0,0,0,0,0,0.12698145879756,0,0,0,0,0,0,0,0,0,0.0102109306310063,0,0,0.0236439201743236,0,0,0.0221811945557077,0.0222297344165336,0,0,0.00514096477854783
"merge_spot16",0,0,0.606124424259118,0.0142493291962191,0.0500951406459595,0.0263104056367756,0,0,0,0,0.0787118664965757,0,0,0,0,0.0888853571337995,0,0,0.00391572051773156,0,0,0.00772973297658242,0.0745629967431009,0,0,0.0161518231003926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032016934922518
"merge_spot17",0,0.0448743800087476,0.430529933660365,0,0,0,0,0,0,0.221826307181896,0.0155569575505092,0,0,0,0,0.0186453326936257,0,0.0429177014331927,0,0,0,0,0,0,0,0.0254848581180478,0,0,0.0805303230657871,0,0,0.00458424035088455,0,0,0,0.0075332345214411,0.0429027999911442,0,0.0526980950135485,0.0111609144244069
"merge_spot18",0,0,0.757492472707867,0,0,0.0102068242627288,0.0146440166797745,0,0,0.0460178997367751,0.00836019035807026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676371310759475,0,0,0,0.0266526286597746,0.0543262988616205,0,0,0.0138703320682127
"merge_spot19",0,0.225828266362219,0.406684930105024,0,0,0,0,0,0,0.062097526180442,0.00909426567963323,0,0.00350121982833582,0.125848871847791,0,0,0,0,0,0.111854727817547,0,0,0,0.00926890311223345,0,0.00893937791405866,0,0,0,0.0216980631422496,0,0,0.00429046402564915,0,0,0,0,0,0,0.00928869571388777
"merge_spot20",0,0.152990140404213,0.555491668856294,0,0,0,0.0125035936412539,0,0,0,0.00368988508473925,0,0,0,0,0.0503881326668523,0.0165795947877467,0,0.0162444527773731,0.124864275612937,0,0,0,0,0,0.0274965289879166,0,0,0,0.0225760186566977,0,0,0.0056087808369987,0,0,0.0107669041995505,0,0,0,0
"merge_spot21",0,0.0678952290740421,0.664820405234896,0,0,0,0.00246389482252923,0,0,0.0837464410539087,0,0,0,0,0,0.0633207208873199,0.0267628012239922,0,0,0.0315216988284946,0,0.0030422378532514,0.0265304773257926,0,0,0,0,0,0,0,0,0,0.0176089510743752,0,0,0,0,0,0,0.0108376090823462
"merge_spot22",0,0.170923726303824,0.618324542791417,0,0,0,0.00740958659372911,0,0,0.00482657938238189,0.00637513530839597,0,0,0.0589653767352679,0,0.0107444765510947,0,0.0164370579197284,0,0,0,0,0.0209241368950656,0,0,0,0,0,0.0569353394126503,0.00754370400677902,0,0.0158688169068134,0.00352038721612105,0,0,0,0,0,0,0
"merge_spot23",0,0.533038932190706,0.090314084842931,0,0.0230121800936757,0.055985169008301,0.0671476535014205,0,0,0,0,0,0,0.0151233166158326,0,0.00404224122521481,0,0.00262258337626521,0,0.0457063654586893,0,0,0,0.0261831355143829,0,0.0158345510237166,0,0.00375786444091002,0,0.0225894253537942,0,0.00356126069494695,0,0.00810161803104492,0,0,0.0640117433736599,0,0,0.0183848600456567
"merge_spot24",0,0.107381481403337,0.56985746016809,0,0,0.0400952265008537,0.0257364871881789,0,0,0,0.0232497070423531,0,0,0,0,0,0,0.0204240507416376,0.0563902080858943,0.0144109789822757,0,0,0.0281983828945637,0,0,0,0,0,0,0,0,0.0703498720757585,0,0,0,0.0332408881186443,0,0,0,0.00957093242656024
