"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"4x6",0.0352311906374231,0,0.639102086331052,0.0284340005170574,0,0,0,0,0,0,0,0,0,0,0.00635584228955611,0.251587211881858,0.0390177226008846
"4x8",0,0,0.735344077373876,0,0.020948047324265,0,0.0113630400556615,0,0,0,0,0,0,0.0315936629110566,0,0.18011737135234,0.0202440704187611
"4x10",0,0,0.62346779424949,0.0307408782221549,0,0,0.00402652102426606,0,0.0191229253578004,0,0.0191695883749044,0.102442192081815,0,0,0,0.162915723342552,0.0379543554536121
"5x7",0.0188453971381281,0,0.740022432518095,0.0218729168308509,0,0,0,0,0,0,0,0,0,0,0,0.195046767865834,0.02391163367847
"5x9",0,0,0.675143640091769,0,0,0.0117808176707607,0,0,0,0,0,0,0,0,0.0453708806437399,0.23286168270636,0.0344368025537128
"5x11",0.00167857306769862,0,0.679445481412728,0.0100517102011625,0,0.0170725505169042,0,0,0,0.0126281886844711,0,0,0,0,0.0605657072238427,0.185836978859115,0.0325115353237514
"5x13",0,0,0.621413545984281,0,0,0,0.0143042186792244,0,0.00988264587548184,0,0,0,0,0,0.0403853415816373,0.280657767449087,0.0329841061062137
"5x15",0,0,0.642812471869266,0,0.0126418710822071,0,0,0,0.0063135639130259,0,0,0,0,0,0.00848352379563691,0.268169608012569,0.0610501461568173
"6x6",0,0,0.61723614965268,0,0,0,0,0,0,0,0.0365204583095153,0,0,0,0.00556193475128097,0.289748890697904,0.0504987035582352
"6x8",0,0,0.659978317179118,0.0833949278265973,0,0,0,0,0,0,0,0,0,0,0.0317245027986546,0.179557054476763,0.0449402239610414
"6x10",0.0356680138129175,0,0.676459443462654,0.0283930619153134,0,0,0,0,0,0,0,0,0.0142928770967226,0,0.0204220332678151,0.206715590129299,0.0176982350601893
"6x12",0,0,0.688180075779021,0.0145561509110281,0.0378022002758366,0,0,0,0,0,0,0,0,0,0,0.222577640561762,0.035712721191291
"6x14",0.0031143561980121,0,0.674972564954498,0.0507349636349084,0,0,0,0.0180916073903567,0,0,0.0101307405594031,0,0,0,0.0100654835107087,0.209242272332456,0.0233907804053589
"6x16",0.00173247017287339,0,0.674064024949967,0.035164133644181,0,0,0,0,0,0,0,0,0,0,0.0121639017850524,0.229620402301001,0.0468773299984478
"7x7",0,0,0.676522965916326,0,0,0,0,0,0,0,0,0,0,0,0.00129570764425084,0.277747413954859,0.0439001483206881
"7x9",0,0,0.652929796862932,0.00470193886268125,0,0.0151540163633036,0.00589475558150948,0,0,0,0,0,0,0,0.00877842992451167,0.285273377260881,0.0269028513000315
"7x11",0,0,0.727114826896013,0,0,0,0,0.00211501179589504,0.0185803138899396,0,0,0,0,0,0,0.223670654701736,0.0276280830386603
"7x13",0,0,0.640356731380089,0,0,0,0,0,0,0,0,0,0.0360205479580422,0,0.00552389344495472,0.293739801892182,0.0238886152050215
"7x15",0,0,0.699445359352673,0,0,0.00263057512355203,0,0,0.00706674432777374,0,0.00768795557150467,0,0,0,0.0338996580272596,0.248800291154351,0
"7x17",0,0,0.718283248933514,0.0295242260672151,0,0.0140212048077277,0,0,0,0,0.0082081557851405,0,0,0.0364574612905783,0.0206710666650072,0.144357671299172,0.028267160608918
"8x6",0,0,0.669537056660746,0.0892017630216178,0,0,0,0,0,0,0,0,0.0055848640086414,0,0,0.222080106428113,0.0132659805426103
"8x8",0,0,0.647855418658667,0.0200667724761222,0,0,0,0,0.00186473220935508,0,0,0,0.0151781635041992,0,0.00211224137015332,0.294015428395696,0.0185714476923158
"8x10",0,0,0.685796295432974,0,0,0,0.037973041026191,0,0,0,0,0,0,0,0,0.266744985209486,0.00854627688539757
"8x12",0.00169265218092378,0,0.677918951931739,0.0123156446852903,0,0,0,0,0,0.0214205267453777,0.0088723175714883,0,0,0,0,0.26618203589822,0.0112595350781159
"8x14",0,0,0.677458902541663,0.00778519169615204,0,0,0,0,0,0,0,0,0,0.0158470094865164,0,0.273525636162318,0.0246879802697416
