"","Interneuron","Microglia","Macrophage","Ependymal","Choroid_plexus","Neurogenesis","Cajal_Retzius","Endothelial_stalk","Mural","Endothelial_tip","Neuron","Entorhinal.cortex","Deep.layer.subiculum","Entorhinal.cortex..IEG.","Dentate.principal","CA1.principle.anterior","CA1.principal","Anterior.Subiculum..proximal.to.CA1","CA3","Lateral.CA3.principal","CA2","Dentate.hilum","Astrocyte","Oligodendrocyte","MyelinProcesses","Polydendrocyte","Layer.6","Layer.5","Medial.habenula","Medial.habenular..lateral.portion","Lateral.habenula","Lateral.Geniculate.Nucleus...LGN.","Lateral.dorsal.thalamic.nuclei..LD."
"merge_spot1",0,0,0.0539087165944954,0.0113122445923774,0.0119751201063172,0.0465055864103961,0,0.0298136399463246,0.0223772874835368,0.275136558243945,0.106578522679322,0,0.0440986997338191,0,0.0615514986035305,0,0.0120867718419419,0,0.0474656716944549,0.00634037883357268,0,0,0.0807697502240481,0.06968789992907,0,0.00936155714930514,0,0,0,0,0.0942232055192628,0,0.0162973782535794
"merge_spot2",0.107711160429678,0,0,0.00490983969036338,0,0.0369437847149949,0,0,0,0,0.0389477832731588,0,0.0185192275822337,0.0454544684945141,0,0,0.0108170893194677,0,0,0,0,0,0.0535170972889356,0,0.0536642728362051,0.019308358409297,0,0.583707031706633,0,0,0,0,0.0255823221356743
"merge_spot3",0,0.00255487511440279,0,0,0,0,0,0.0123023413970921,0,0.0065839638513549,0.080599329058645,0,0,0.0401009490461833,0,0,0.00284280979330061,0,0.025958477560712,0,0,0,0.0317991839237072,0.0225017768662886,0.0794057428003068,0.0202419785901364,0,0.610171798512983,0,0,0.0020777027441733,0,0.0621951118270057
"merge_spot4",0.0565092046451307,0.0110993494944993,0,0,0,0,0.00254997235340319,0.0050749463383992,0,0,0.183828243899717,0,0.0838419814688789,0.0186995978202995,0,0,0.0794180993868215,0,0,0.0103583216813403,0,0,0.0229476982382121,0,0.0399631143710037,0,0,0.420165260863002,0,0,0,0,0.064678663871036
"merge_spot5",0.0961999457428306,0,0,0.00294994541666543,0.0154090295152845,0,0,0.00214779401321059,0,0,0.0452336835486816,0.0560962995736088,0.0270532974794674,0,0,0,0,0,0,0,0,0,0.122757140821227,0.0309291380422281,0.0301524877787263,0.0118843098331732,0,0.499776716070454,0.00154726349407311,0,0.00847254412113124,0,0.0485502486820906
"merge_spot6",0.133251461103369,0.00722305186315329,0,0,0.00424106067581817,0.00722760138180408,0,0.00655552936423734,0,0.00760372284362892,0.266550946561529,0,0.0328723080099372,0.0902796003689807,0.0122616668048879,0,0,0,0,0,0,0,0.0617795166674413,0.00524548728916671,0.0800176570332076,0.00621546887908623,0,0.260598807824247,0,0.00212721365087376,0,0,0.01474893019179
"merge_spot7",0.425778234579491,0.00572573836536595,0.00947763430134808,0,0,0,0,0,0.00310113165864924,0,0.167431873811054,0,0.0769189870006325,0,0,0,0,0,0,0,0,0,0.0349851540534925,0,0.0522954890247826,0,0,0.195031445740464,0.00743265761851356,0.00534445330773473,0,0,0.0156526115295032
"merge_spot8",0.15928510945507,0.00707196518109236,0,0,0,0.00433594111972062,0,0,0.00185581153228875,0,0.452185737356476,0,0.0475166577688247,0,0,0,0,0,0,0,0,0,0.0567639827619922,0,0.0791531434032381,0.00606522972131184,0.0360357881681525,0.136155295049202,0,0.00295805111125525,0,0,0.00942351258885563
"merge_spot9",0.0502476546548961,0.0050651977270766,0.00605220945203842,0,0,0.00959774767217264,0,0.00440178271314794,0,0,0.368916211227864,0,0.0309426553150498,0.0287466225884246,0,0,0,0,0,0,0,0,0.0330972294682066,0,0.128341091079102,0,0,0.281787757965749,0,0,0.00565373302832041,0,0.0464609455319469
"merge_spot10",0.0853894685673608,0.00789387486015781,0.00466993770576867,0,0,0,0,0,0,0,0.332908973543043,0,0.0252661705110136,0.0116924704616569,0,0,0.0142205247544414,0,0,0,0,0,0.046884414095656,0,0.0541528325333116,0,0.0386250391596333,0.356009269310934,0,0,0.00137405212043339,0,0.0190411356510662
"merge_spot11",0.125840084447624,0.00594331645453004,0,0,0,0.00643414265725505,0,0.00754994437788114,0.00162749511282706,0.00154656330491123,0.374007573962208,0,0.0229939174621039,0,0,0,0,0,0,0,0,0,0.0663189842256814,0,0.0282235366070104,0.00910452101661056,0.0441618601348252,0.300982219892064,0.00394382766006647,0,0,0,0
"merge_spot12",0.191722344934908,0.00413431035660355,0,0,0,0.00688972080006503,0.00448008064796936,0.00141561838161872,0.00113908266679409,0,0.251051155708587,0,0.0405196691630257,0,0,0,0.0933781204441326,0,0,0,0,0,0.0430410722024204,0.0282726645402096,0.0347860160337829,0,0,0.273028860507638,0,0,0,0,0.0251035232761119
"merge_spot13",0.32571035619869,0,0.0033278870926115,0.0041593220663746,0,0,0.00534901650873978,0.0113655353242806,0,0.00429494665016927,0.215342613971696,0,0,0.0165801634807132,0,0,0,0,0,0,0,0,0.0316837047054354,0,0.0164276003491949,0.00800220714550034,0.126769053931211,0.175874300391852,0,0,0,0,0.0532820400349083
"merge_spot14",0.202185101375789,0.005220304876568,0.0117581468286979,0,0.00292855672556303,0.00386496734347261,0,0.00265715449237246,0.00306820923934923,0.0157197662304263,0.323146060757014,0,0.0416516722100156,0,0,0,0,0,0,0,0,0,0.0575581242700543,0,0.0595120176233396,0,0,0.229400167275955,0,0.00413753697359382,0,0,0.0365730032790241
"merge_spot15",0.0567921053422151,0.0230440082620057,0,0.00392556454324379,0,0.00710747126883825,0,0.013423379299564,0,0.0101458288485211,0.192019861287878,0,0,0.0389401163551993,0.0194308311865671,0,0.0241879098420915,0,0.00913802432390784,0,0,0,0.104413017508456,0.095967313238965,0.136390952198583,0.00429583034458751,0,0.201524891288346,0,0.0162574152778424,0,0,0.0425276729082514
"merge_spot16",0.0442532821676375,0.0155164935014651,0,0.00104544598481897,0.00810290498805898,0.0259673125861896,0,0.00688621654443864,0.0299630120356854,0.0393736298682336,0.0862761040671295,0,0.023685463831506,0.0272200724262117,0.0333063286527772,0,0,0,0,0,0,0,0.156197421294851,0,0.341858210961231,0,0.0790772066685763,0.0313611811258826,0.00593810946834897,0,0,0.0235088211508663,0.0201051257778558
"merge_spot17",0.0395180467289779,0,0.0239898531860617,0.0265234352278087,0,0.0586885051240992,0,0,0.00869799200473455,0.0490342862276081,0.076814005665433,0,0.0456385180319399,0.00796244492352985,0.0336407553141219,0,0.00876004626594492,0,0.0555951602139913,0,0,0,0.335783171573523,0,0.0909022344257882,0,0,0.0959238276506016,0.00112853350392291,0.0296490338558251,0,0,0.011183351014277
