"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"21x53",0,0,0.713217314859666,0.0125366614030924,0,0,0,0,0,0,0,0,0,0.0492632863826785,0.052454464951596,0.158206136909645,0.0141318338312655
"21x57",0,0,0.62367356089188,0,0,0.0167775227337216,0,0,0,0,0,0,0,0,0.0248653077897637,0.267656701021451,0.0665549959047806
"21x59",0.0045687365311594,0,0.623859556999186,0,0,0,0,0.0685522227697432,0,0,0,0,0,0,0,0.288076145020023,0.0145060167656997
"22x26",0,0,0.675999900951768,0.0489851513342953,0.0432914805627471,0,0.0673360507483934,0,0,0,0.00388220584864876,0,0,0,0,0.160144446696322,0
"22x28",0,0,0.711308149035601,0,0,0,0,0,0.00430590546324871,0,0,0,0,0,0.0387522124601272,0.237982796617086,0.00714728723963193
"22x30",0,0,0.69790846192701,0.0153361805316832,0,0.0426543560050901,0.027717024966442,0,0.0350125501488839,0,0,0,0.0160114471898772,0,0,0.154343172745314,0.0106546365800703
"22x32",0.00360793007212492,0,0.714340976211671,0.0523158776426488,0.00986486154820872,0,0,0.00242719382297708,0,0.00900472976700194,0,0,0,0,0.0257911837899153,0.154701634329895,0.0277267964036255
"22x34",0.00257495010725728,0,0.722300426406916,0,0,0,0.00878627375886385,0,0,0,0,0.00541962542529647,0,0,0.0232096366336252,0.226124658089001,0.0111601252617925
"22x36",0.00785255835662891,0,0.783119069442545,0,0,0,0,0,0,0,0,0,0.00493483315587452,0,0.00275097433956946,0.178157128513339,0.022623780170514
"22x38",0.013546204092508,0,0.710744532895388,0.0511046315121675,0,0,0,0,0,0,0.0621062838898204,0,0,0,0.0161167087794494,0.143077742576384,0.00295776576245223
