"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"18x30",0,0,0.729722206735705,0,0.00751267972708582,0,0,0.0432685750483749,0,0,0,0,0,0,0.0195064131738348,0.16831309189799,0.0312322608193633
"18x32",0.0099802957736656,0,0.746918117328833,0,0.0448698994070374,0,0,0,0,0,0,0,0,0,0.0229761715282987,0.158150904569181,0.0157882829032292
"18x34",0.0022499772787953,0,0.755121124137264,0,0,0,0,0,0,0,0,0,0,0.0272797215115229,0,0.172075030092484,0.0429030023285868
"19x29",0,0,0.722097028099029,0.027673498727428,0.00285331892789853,0,0,0,0,0,0,0.0253678823748846,0,0.0127001211544566,0.0318227846079303,0.149056888886132,0.0281221861499412
"19x31",0,0,0.711030717884613,0,0,0,0,0,0,0.0259726213508217,0,0,0,0,0.0211989185944454,0.214895451819071,0.0265960210039366
"19x33",0.00557502275648963,0,0.776016510370751,0.00525481789892432,0,0,0,0,0.00778463024333209,0,0.00198825576255451,0,0,0,0.021433867338687,0.155400948840674,0.0264399033836089
"19x35",0,0,0.694845505402555,0.0074335455994806,0,0.00190398406676973,0.012366366817629,0.0185199968048358,0,0.00256732194784471,0,0,0,0,0.01561870784636,0.215002407625251,0.0313585714721278
"20x28",0,0,0.721357703857153,0,0,0.00140868521806638,0,0,0,0.00179009484227151,0,0,0,0,0.0695123908496748,0.189938260488315,0.0156249249014015
"20x30",0.0120301184363867,0,0.72378000994831,0,0.0103655131234888,0,0,0,0,0,0,0,0,0,0.0313505272281763,0.209764346514087,0.0116032647779096
"20x32",0.00129684677514025,0,0.743325789533692,0.0431457388036359,0,0,0,0,0,0,0.0138050422337329,0,0.00897729121255305,0,0.0167925204391571,0.156809484612384,0.015695087434173
"20x34",0,0,0.711477570163888,0,0,0,0.00608493687011217,0,0,0,0,0.0371967313897286,0,0,0.0255106161558551,0.200359537637248,0.0186231266236709
"20x36",0.00134185000972107,0,0.710781341524331,0.0408224432544475,0.00552211127506857,0.00823545108779711,0,0.0244899025835353,0,0,0.00294615830901872,0,0,0,0.0338629078302969,0.157894068340965,0.0139251822923552
"20x38",0,0,0.702323592257865,0.0249525870041641,0,0.0154561509158402,0,0,0,0,0,0,0,0,0.0352891054318801,0.201334701130617,0.0202694595085549
"21x29",0,0,0.79179122349209,0.0444797114613152,0,0,0,0.00117281609815328,0,0,0,0,0,0,0,0.12506312170224,0.0372142080125989
"21x31",0,0,0.755976871045201,0,0.0274650331435691,0,0,0,0.0059885278409554,0,0,0,0,0,0.0196772892322886,0.17405822922953,0.0166457493745588
"21x33",0.0108691635351701,0,0.743229713003856,0,0,0,0.00922522556766895,0.0131741278137102,0.00275223270444801,0,0,0,0.0150256245608568,0,0.0270203694235721,0.157610349248128,0.020689331035616
"21x35",0,0,0.742271607406264,0.0100065377896362,0.00164482290017336,0,0.00958036851329435,0,0,0,0,0.0076505688425206,0,0,0.00992560683892491,0.199562291840038,0.017644391114833
"21x37",0,0,0.729443515570968,0.051629010160469,0,0.00405370009218601,0.0196362040860089,0.0190179465316996,0,0,0,0,0,0,0.0295202360789621,0.11780447150588,0.028594805821557
"21x39",0,0,0.720751309121391,0,0,0,0,0,0,0,0,0,0,0,0,0.237194273645858,0.0414904282197118
"22x28",0,0,0.712713214016307,0,0,0,0,0,0,0.00205313309425624,0,0,0.0183442280118907,0,0.0595619220909207,0.196487728586914,0.00990405680150212
"22x30",0,0,0.723839780328968,0,0,0,0.0221435104057704,0,0,0,0,0,0,0,0.0319881096313157,0.201928554920507,0.0197949161153475
"22x32",0,0,0.731070835660728,0.0348560720444673,0.0170000867133505,0,0.0120636869814555,0,0,0,0.0380986902348211,0,0,0,0.0160801207487859,0.134270074732555,0.0163498057586369
"22x34",0,0,0.723501365461251,0.0297489128133904,0,0.0199776439693269,0,0,0,0,0,0,0,0,0.033571321241927,0.176821912139967,0.016120877741963
"22x36",0,0,0.734233515418023,0.00438868130058056,0,0.00252232650985084,0,0,0,0.016390418075803,0.00218809238081762,0,0.00645034304120412,0.0300478153514001,0.0359413532477349,0.16109771962665,0.00668381791870385
"22x38",0,0,0.68634750351874,0.0119912373238415,0.00540937164908033,0.0163055354230739,0,0,0,0,0,0,0.0187485468328003,0,0.0233185825530994,0.209303051663028,0.0281452184292935
"22x40",0.0119638339150946,0,0.656880535821708,0.0266538581326688,0.018307638288556,0,0,0,0.00567085523248905,0,0,0,0.0233647006534494,0,0.0236885445787828,0.204996749986928,0.028215162233192
"23x29",0,0,0.701149930185679,0.0168410615672348,0,0,0,0,0,0.0190124176606526,0,0,0,0,0.0343093583661738,0.196273183917947,0.031081463093191
"23x31",0,0,0.735644651708456,0.0228700220392528,0.010170966636407,0,0,0,0.0142684376664326,0,0,0,0.00109559601111449,0,0.0308074731365946,0.175015545992877,0.00917914847241556
"23x33",0.00177825786003235,0,0.744975921395354,0.0481126710660345,0.0344597134360771,0,0,0,0,0,0.00399496419854454,0,0,0,0.0259920753136839,0.114655659982216,0.0258180328637123
"23x35",0,0,0.726085490943569,0,0,0.0111308168499034,0,0,0,0,0,0,0,0,0.0799807021445011,0.163604359952802,0.0188985280802745
"23x37",0.0112094370196351,0,0.71260129568313,0.0330501851631956,0.00948228752109279,0,0,0,0.00340530964943035,0,0,0,0.040073827474591,0,0.0132809203767056,0.157119198928905,0.0195716501671753
"23x39",0,0,0.743124294076896,0.0228457131170711,0.030294438811766,0,0,0.00363489264187692,0,0,0,0,0,0,0.0103515026863734,0.153702366123652,0.035931780359076
"23x41",0,0,0.713849829950007,0,0.0212128664501751,0,0,0,0,0,0,0,0,0,0.0167946351316187,0.222206495497084,0.0253539240045818
"23x43",0,0,0.745183556335201,0.00263883925772681,0,0,0,0,0.00467988911907738,0.0156935486262494,0,0,0,0,0.0383278634044596,0.170597507864837,0.0225173779641848
"24x28",0.00321244619072851,0,0.757323090807877,0,0,0,0,0,0,0.00758293111153957,0,0,0,0,0.0321056953430571,0.182010533267454,0.0174772688738771
"24x30",0,0,0.719596245649739,0.00399685231645537,0,0,0,0,0,0,0,0,0,0,0.0443495732004131,0.215929652592576,0.0158401963894358
"24x32",0,0,0.722417584003842,0,0.0163764903148247,0,0,0,0,0,0,0.00345016121874734,0,0,0.0240355371989467,0.210516772479435,0.0228347113934441
"24x34",0,0,0.727714019934195,0,0.00897333395652146,0,0,0.0087716080088901,0,0,0,0,0,0,0.0331457989853165,0.209835459176829,0.0111422215853451
"24x36",0,0,0.751411931986141,0,0,0,0.00735306799924888,0,0,0,0.021850801187543,0,0,0,0.0466342865985464,0.158852576083255,0.0130968609322905
