"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"2x38",0,0,0.695825493369738,0.109570585223164,0,0,0.0046696574552531,0,0,0,0,0,0,0,0.0369186241298783,0.146155427445624,0.00657562890126374
"2x40",0,0,0.666093358256736,0.0105184990315606,0,0,0,0,0,0,0,0.0598678355166724,0,0,0,0.247728080088004,0.0149685496925557
"2x42",0.0117667422192713,0,0.628906795239643,0,0,0,0.0111521453669363,0,0.0275954511580866,0.00270444087153458,0,0,0,0,0.0145761379309065,0.28107436824051,0.0217908457813147
"2x44",0,0,0.686776506217659,0.0850708803836273,0,0,0,0,0,0.0154868986871379,0,0,0,0,0,0.212253520661887,0
"3x39",0,0,0.731541790715769,0.0226524583041066,0,0,0,0,0,0,0,0,0,0,0,0.233271278188366,0.0120870737753079
"3x41",0.0010167280384799,0,0.621006940618773,0,0,0,0.0283188228501046,0.00307219928440204,0,0.00679767447258683,0,0,0,0.00274605298050516,0.00665232866223646,0.31657778520307,0.0135398954111906
"3x43",0,0,0.704945068842133,0.0154153160812615,0,0,0,0.01180363594317,0.00430465604970594,0,0,0,0,0,0.011979928797414,0.230860323006528,0.0204363273152497
"3x45",0,0,0.682356913270213,0.0616786856242207,0.00802191667703245,0,0,0,0,0,0,0,0,0,0.00993005038326331,0.217228685577342,0.0205815459386021
"4x38",0,0,0.642009215856262,0.0281053910093293,0,0,0,0,0.00962794179029052,0,0,0,0,0.0624518101860213,0.0088491398079286,0.23343524843788,0.0153180436028256
"4x40",0,0,0.537954273599725,0,0,0,0,0,0,0.0133235632145608,0,0,0,0,0.0596589067763042,0.376188505927917,0.0124633506528744
"4x42",0,0,0.71171812515876,0.0191951277895108,0,0,0,0,0,0.0211912276667038,0,0,0,0,0.030502683199036,0.209861224975274,0.00647770722953139
"4x44",0,0,0.704769770384678,0.008411706880062,0,0,0.0160657848026561,0,0,0,0,0,0,0,0.019991872207971,0.250435824646238,0
"4x46",0,0,0.65976779078366,0,0.0361278832650492,0,0,0,0,0.00892183027255848,0,0,0,0,0,0.275938067399191,0.0188025160474638
"5x39",0,0,0.659019903559489,0,0,0,0,0,0.00121679500329634,0,0,0,0,0,0.0203354667000394,0.303664843928995,0.0153632623525006
"5x41",0,0,0.636793592146734,0.0087261126535887,0,0,0,0,0,0,0,0,0,0.00263415955591507,0.0309834228062771,0.311626416517769,0.00893612588568129
"5x43",0,0,0.724572507116051,0.0243476758324486,0,0,0,0,0,0.0192699501907019,0,0,0.0116895976051622,0,0,0.217100723262601,0.00212121887867785
"5x45",0.00251251822149617,0,0.683556448571205,0.00675761336064681,0,0,0,0,0,0,0,0,0,0,0,0.291050994587932,0.0156586153685649
"5x47",0.00341185992924557,0,0.679106064683321,0,0,0,0,0,0.0024391708804015,0.0254499683189511,0.028803577093824,0,0,0,0,0.246514436432328,0.0136460351492282
"6x38",0.0173446473774231,0,0.709855820411509,0.02135688323247,0,0,0.022016781478204,0,0,0.0178468843951679,0,0,0,0,0.021428574095666,0.189726855290271,0
"6x40",0,0,0.649697826292009,0,0,0,0.0329488977664136,0,0,0,0,0,0,0,0.031743597361094,0.28523410465148,0
"6x42",0.00206404139441815,0,0.678605498283096,0.131562784985847,0,0,0,0,0,0,0.0111951432901431,0,0,0,0.0201010031264122,0.149596315185582,0.00663867720925603
"6x44",0.00890041050050187,0,0.660583628943062,0.0164106658788489,0.0315672225175973,0,0.0653813769437899,0,0,0,0,0,0,0,0.00321765496319898,0.213630719321492,0
"6x46",0,0,0.64596154520824,0.0500078683290348,0,0,0,0,0,0,0,0,0,0,0,0.282346549975178,0.0211519234933924
"6x48",0.00763236977090792,0,0.766970310272135,0.00540852849051387,0,0,0,0,0,0,0,0,0,0,0.0163911574673293,0.188134104463233,0.015007665570874
"7x39",0.00531300735710005,0,0.68896009644228,0,0,0.0114774564011017,0,0.011271164653791,0,0.0144642778690645,0,0,0,0,0.0149065789144478,0.253288116439359,0
"7x41",0,0,0.650278985576864,0.0349905449672438,0,0,0,0,0,0,0,0,0,0,0.00920851106690976,0.284539857388246,0.0205620136225111
"7x43",0,0,0.731285635381517,0.0434975133320733,0.019051496748532,0.00970095851538804,0,0,0,0.00596178149461989,0,0,0,0,0.0235405873275814,0.155358330451284,0.0113930923962869
"7x45",0,0,0.701985951640933,0.0346104383125545,0,0,0,0,0,0,0,0,0,0,0,0.244394223738935,0.0186801175875937
"7x47",0.0048318687026022,0,0.73227407689314,0.0290615883728964,0,0,0.00795000174323711,0,0,0,0,0,0,0,0.0123325758889837,0.188655466840245,0.024644289572519
"8x38",0,0,0.650679323054344,0,0,0,0,0,0,0.0278807673464392,0,0,0,0,0,0.265400582270166,0.0556222611820522
"8x40",0,0,0.665616156909479,0.0224092775425102,0,0.040302166766353,0,0,0,0,0,0,0,0,0,0.259929879713892,0.0113431123336069
"8x42",0,0,0.671779420896779,0.00111821510951754,0.0202926266893705,0,0,0,0,0.0269854629578526,0,0,0,0.00876717591455944,0.0204339697353796,0.24338629099395,0.00703027391722333
"8x44",0.0130235443110276,0,0.708937117183658,0.0692943888305714,0,0,0.00412808162066919,0,0,0,0,0,0,0.00385075001679183,0.00861688053923647,0.177480486100579,0.0142896641780723
