"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"14x58",0,0,0.716991015933492,0.0384213252085234,0,0,0,0,0,0,0,0,0,0,0,0.230692036712806,0.0135858807281048
"14x62",0.0111113063981322,0,0.584927033047218,0,0,0,0.0478986252325759,0,0,0.0318655448278771,0,0,0,0,0.00341088344488117,0.244530712736824,0.075932502700947
"15x57",0,0,0.743148014777664,0.0283544828127149,0,0,0,0,0,0.0137410999645242,0,0,0,0,0,0.203733557890742,0.0107474503126878
"15x59",0.0179349767380194,0,0.626554336763931,0,0,0,0,0,0,0,0,0,0.0584973559335079,0,0.019100292474599,0.257871546599531,0.0197089246764578
"15x61",0,0,0.762222112568309,0.0795149696055187,0,0,0,0.00467035528493197,0,0,0,0,0,0,0,0.145517034058601,0.00770277551685347
"16x58",0,0,0.618574918263324,0.0672096294100902,0,0,0,0,0,0,0,0,0,0,0.0714570161751373,0.21910748806288,0.0234536742402415
"16x60",0,0,0.673560905379224,0.0598111329614834,0,0,0,0.0512735102198837,0,0.00911820861936288,0,0,0,0,0,0.18617367468347,0.0198487164350079
"16x62",0,0,0.621013618905686,0.0036164888515488,0,0,0,0,0,0,0.0369357525836262,0,0,0,0.0424214945183695,0.285339271925951,0.0103384190756498
"17x57",0,0,0.654099460916502,0.0224536835524758,0,0,0.0272722772242399,0.0629465660115918,0,0,0,0,0,0,0,0.185089021446947,0.0478637535255158
"17x59",0.0176290197897609,0,0.688028656570559,0.0757659810619448,0,0,0,0.0436734545777342,0,0,0,0,0,0,0.00627947563823166,0.16408385128147,0.00424795846603531
"17x61",0,0,0.67160237404891,0.0715211900483124,0.0235628262932602,0.0232897625567888,0,0,0,0,0,0,0,0.0299575303785692,0.0117479282957853,0.159736935027289,0.00839656613522014
"18x50",0,0,0.712513723170389,0,0.0437223422501293,0,0,0,0,0,0,0,0.034650076057925,0.0122324254787615,0,0.157712588669197,0.0390293673531553
"18x52",0,0,0.715666870969558,0.0819418699048242,0.0808040104577371,0,0,0,0,0,0.0249527050729513,0,0,0,0,0.0963949908517586,0
"18x54",0,0,0.811164159676824,0.067151478239857,0.0153770272760829,0,0,0,0,0,0.0112011407360313,0,0,0,0,0.0907822552147681,0.00404478150780606
"18x56",0,0,0.672367770639747,0.0396964841006876,0,0,0,0.069174267288887,0,0,0,0,0,0,0.0196217554439161,0.185812284371267,0.0130066223326606
