"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"4x46",0,0,0.592592617322115,0.0150043727340272,0,0,0,0.0546978073956802,0,0,0.115165205092908,0,0.0350239063651133,0,0,0.161528220455483,0.0256753059897187
"5x43",0.0115913149189783,0,0.572100484080579,0,0,0,0,0,0,0,0.0740903867798784,0.0881278886838613,0.0734418290005355,0.00434251959345584,0.0245774528861224,0.070542429505009,0.0810960907985818
"5x45",0.0168013228446986,0,0.450285144550795,0,0,0,0,0,0.0174595460764301,0,0.306414965011168,0,0.0138950183300597,0,0.00756254171704765,0.149782216530658,0.037531758316061
"5x47",0,0,0.557272214359401,0.0567373086232683,0,0,0,0,0,0,0,0,0,0,0,0.327452521462824,0.0583062552621265
"5x49",0,0.0206287637382529,0.452550861729613,0,0,0,0,0,0.00822654707254969,0.0272388611586623,0.182487988939862,0,0,0,0.06697969011137,0.133265532897921,0.108342769653378
"6x42",0.114812466888255,0,0.719850957978523,0.141175776671827,0,0,0,0,0,0,0,0,0,0,0,0,0.0238030067868686
"6x44",0.0316564221139776,0,0.646212246272479,0.0688983564043638,0,0,0,0,0,0.0891941177146565,0,0,0,0,0.0507085947359627,0.0758574780931714,0.0373517080529914
"6x46",0.0342602127610326,0,0.617905235058082,0.0245462086977415,0,0,0,0,0,0,0,0,0,0,0.0396821456235727,0.223353231657012,0.0601296246684944
"6x48",0,0,0.54578785422596,0.0536951878586136,0,0,0,0,0.0289342298420075,0,0,0,0,0.0639672105689771,0.0603696716887361,0.1397256205977,0.107251920782952
"6x50",0,0,0.609157828869374,0.00662848469892838,0,0,0,0,0,0,0.037790697799348,0,0.00415079530220076,0,0,0.255440255593171,0.086650520454257
"6x52",0,0,0.508484697997904,0,0,0.0647325711801494,0,0.023697755722303,0,0,0,0.0908755045799636,0,0,0,0.201193593438895,0.110751515699611
"7x43",0.0747980104493035,0,0.663413624951986,0.0316058399980024,0,0,0,0,0,0,0,0,0,0,0,0.220294794391342,0.00974150839633865
"7x45",0.0383229584893159,0,0.688951161805582,0,0,0,0.0110886205294211,0.0751217173052064,0,0,0,0,0,0,0.00995119083119041,0.118666011670913,0.0577818798766484
"7x47",0,0,0.672497634567812,0.0923019342067247,0,0,0,0,0,0,0.0695738574670594,0,0.035135320450982,0,0,0.0642891104180578,0.065989355646082
"7x49",0,0,0.692875111018437,0,0,0,0.0419122847996403,0.00983012314431612,0,0.018803187808366,0,0,0.0801483533432299,0,0.0195468477333573,0.0649315789896432,0.071772563487595
"7x51",0,0,0.719325229962935,0.0557949689970668,0,0,0,0,0,0,0,0,0.0487423129265492,0,0,0.0860282631818794,0.0898730406245408
"8x42",0.0755236996039638,0,0.663761427777973,0.0737586559077474,0,0,0,0,0,0,0,0,0,0,0,0.134006580054879,0.052788562779964
"8x44",0.0464616642753684,0,0.645861845903621,0.00775406713418293,0,0,0,0,0,0,0.0100089821004749,0,0,0,0.0108046296632908,0.207188446124648,0.071728399538092
"8x46",0,0,0.706500868647009,0.0256586255611078,0,0,0,0,0,0,0.0226985417527431,0,0,0.066852127145911,0.0268630982411635,0.151290963305522,0
"8x48",0,0,0.623462101332688,0,0,0,0,0.036435303654208,0,0,0.0269722825235399,0.0692312054941658,0,0,0.0436156040054224,0.10713481759759,0.0928698042052045
"8x50",0,0,0.750457777917134,0.00246864881075479,0,0,0,0,0,0,0,0,0,0.0223665844979168,0,0.194144870918384,0.0291762244008318
"8x52",0,0,0.663585075509988,0.0411637253567681,0,0,0,0,0,0,0,0,0,0.049267573994481,0.00153245568050306,0.178475029747468,0.0656724318072668
"9x43",0,0,0.777953936558596,0.150480300355823,0,0,0,0,0,0,0.0330450766218054,0,0,0,0,0,0.0382893711243029
"9x45",0,0,0.654809401251149,0.0345220413243673,0,0,0,0,0,0,0.0919187361037921,0,0,0,0,0.156009097406724,0.0626113284397321
"9x47",0,0,0.512409269204587,0,0,0,0,0.0938368854577167,0,0,0.0352222690816578,0,0,0.0256270366509877,0.0386548666885816,0.149201064106962,0.144489925994327
"9x49",0.0153211436361711,0,0.765049718974041,0,0,0,0,0,0,0,0,0,0,0,0.00497100640716368,0.171942263454058,0.0414022041607532
"9x51",0,0,0.69711265237754,0.0456734162124592,0,0,0,0,0,0,0.0637544261228627,0,0.0089824536667545,0,0.0607999515983014,0.106299207022996,0.0171397286199026
"9x53",0.0111127515086514,0,0.604485803069942,0.116275184654111,0,0.0653049607895368,0,0,0,0,0.0270068367571956,0,0,0,0,0.0997988726237085,0.0758636840491126
"10x42",0.00514399635754029,0,0.594100814967215,0.038268213409333,0,0,0,0,0.0156474481928953,0,0,0,0,0,0.0625111728488446,0.233681559800961,0.0504883451022115
"10x44",0,0,0.734564625144905,0.0624794205815596,0,0,0.00776979318051437,0,0,0,0,0,0,0,0,0.188074233357856,0.00692990642577367
"10x46",0,0,0.758357576787856,0,0,0,0,0.0402309524603474,0,0.00416966421889175,0,0,0,0,0.0319651187236777,0.148636085882625,0.0163726744514603
"10x48",0,0,0.716406294601495,0.0113574339676502,0,0,0.0531992607379622,0,0,0,0,0,0,0,0.0100912461557267,0.1495255556816,0.0590428891920079
"10x50",0,0,0.761708252322219,0.0479859450090544,0,0,0.0384326937074384,0,0,0,0,0,0,0,0.00734782453578399,0.133881152684972,0.0103572667134985
"10x52",0,0.0496397841949337,0.743787987460584,0.121182770418593,0,0,0.0158134911737292,0,0,0,0,0,0,0,0.0108565035244827,0.0537429773131494,0.0048087104170318
"11x41",0,0,0.701724606591271,0.0396720607007307,0,0,0,0,0,0,0,0,0,0,0,0.21793309013496,0.0402613427501797
"11x43",0.00798460927365119,0,0.695710870622491,0,0,0,0,0,0.0296700710415702,0,0,0,0,0.0249004837875775,0.001482247183191,0.216259957503644,0.0237066303401631
"11x45",0,0,0.618653780173588,0,0,0,0,0.0174543455545024,0.028131506532798,0.00339315156390766,0,0,0,0,0.0121055881503046,0.304557274259315,0.0148386610905769
"11x47",0,0,0.723910945363319,0,0,0,0,0,0.00381183155445064,0,0,0,0,0,0.0014438069093222,0.239297980175832,0.0310185698556424
"11x49",0,0,0.692621806925867,0.0729941029000476,0,0.0293639522866658,0,0,0.0198905967713492,0,0,0,0,0,0,0.132664437729149,0.0511634910793841
"11x51",0,0,0.733212539519251,0.0497992428739175,0,0,0,0,0,0,0.0492398446812996,0,0,0,0,0.146045571571142,0.021379446257936
"11x53",0,0,0.57088784352129,0,0,0,0,0,0,0,0,0,0,0,0,0.352948549874704,0.075747543485608
